name	model	benchmark	condition	source_dir	start	n
Qwen2.5-7B-Instruct_mmlu_random__p0	Qwen/Qwen2.5-7B-Instruct	mmlu	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_random	0	1600
Qwen2.5-7B-Instruct_mmlu_random__p1	Qwen/Qwen2.5-7B-Instruct	mmlu	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_random	1600	1600
Qwen2.5-7B-Instruct_mmlu_random__p2	Qwen/Qwen2.5-7B-Instruct	mmlu	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_random	3200	1600
Qwen2.5-7B-Instruct_mmlu_random__p3	Qwen/Qwen2.5-7B-Instruct	mmlu	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_random	4800	900
Qwen2.5-7B-Instruct_mmlu_pro_clean	Qwen/Qwen2.5-7B-Instruct	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_mmlu_pro	-	-
Qwen2.5-7B-Instruct_mmlu_pro_importance	Qwen/Qwen2.5-7B-Instruct	mmlu_pro	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_pro_k4_importance	-	-
Qwen2.5-7B-Instruct_mmlu_pro_random	Qwen/Qwen2.5-7B-Instruct	mmlu_pro	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_pro_k4_random	-	-
Qwen2.5-7B-Instruct_arc_clean	Qwen/Qwen2.5-7B-Instruct	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_arc	-	-
Qwen2.5-7B-Instruct_arc_importance	Qwen/Qwen2.5-7B-Instruct	arc	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_arc_k4_importance	-	-
Qwen2.5-7B-Instruct_arc_random	Qwen/Qwen2.5-7B-Instruct	arc	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_arc_k4_random	-	-
Qwen2.5-7B-Instruct_commonsense_qa_clean	Qwen/Qwen2.5-7B-Instruct	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_commonsense_qa	-	-
Qwen2.5-7B-Instruct_commonsense_qa_importance	Qwen/Qwen2.5-7B-Instruct	commonsense_qa	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_commonsense_qa_k4_importance	-	-
Qwen2.5-7B-Instruct_commonsense_qa_random	Qwen/Qwen2.5-7B-Instruct	commonsense_qa	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_commonsense_qa_k4_random	-	-
Qwen2.5-7B-Instruct_math_clean	Qwen/Qwen2.5-7B-Instruct	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_math	-	-
Qwen2.5-7B-Instruct_math_importance	Qwen/Qwen2.5-7B-Instruct	math	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_math_k4_importance	-	-
Qwen2.5-7B-Instruct_math_random	Qwen/Qwen2.5-7B-Instruct	math	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_math_k4_random	-	-
